Agency Name,State Name [District] Latest available year,Agency ID,County Name [District] 2010-11,State Abbr [District] Latest available year,Agency Name [District] 2010-11
100 LEGACY ACADEMY CHARTER SCHOOL,New Jersey,3400743,дус,NJ ,100 LEGACY ACADEMY CHARTER SCHOOL
21ST CENTURY CHARTER SCH OF GARY,Indiana,1800046,MARION COUNTY,IN ,21ST CENTURY CHARTER SCH OF GARY
21ST CENTURY CYBER CS,Pennsylvania,4200091,CHESTER COUNTY,PA ,21ST CENTURY CYBER CS
21ST CENTURY LEARNING ACADEMY,Ohio,3901384,COLUMBIANA COUNTY,OH ,21ST CENTURY LEARNING ACADEMY
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,5500045,RACINE COUNTY,WI ,21ST CENTURY PREPARATORY SCHOOL AGENCY
21ST CENTURY SCHOOL,Ohio,3901379,RICHLAND COUNTY,OH ,21ST CENTURY SCHOOL
4-WINDS ACADEMY  INCORPORATED DBA 4-WINDS ACADEMY,Arizona,400380,APACHE COUNTY,AZ ,4-WINDS ACADEMY  INCORPORATED DBA 4-WINDS ACADEMY
A CENTER FOR CREATIVE EDUCATION,Arizona,400328,YAVAPAI COUNTY,AZ ,A CENTER FOR CREATIVE EDUCATION
A CHILD'S VIEW SCHOOL  INC.,Arizona,400431,PIMA COUNTY,AZ ,A CHILD'S VIEW SCHOOL  INC.
A E R O  SPEC EDUC COOP,Illinois,1700024,COOK COUNTY,IL ,A E R O  SPEC EDUC COOP
A W BEATTIE CAREER CENTER,Pennsylvania,4280010,ALLEGHENY COUNTY,PA ,A W BEATTIE CAREER CENTER
A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,Texas,4800095,DALLAS COUNTY,TX ,A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY
A+ ACADEMY,Texas,4800203,DALLAS COUNTY,TX ,A+ ACADEMY
A+ ARTS ACADEMY,Ohio,3900305,FRANKLIN COUNTY,OH ,A+ ARTS ACADEMY
A-C CENTRAL CUSD 262,Illinois,1700105,CASS COUNTY,IL ,A-C CENTRAL CUSD 262
A-H-S-T COMM SCHOOL DISTRICT,Iowa,1904080,POTTAWATTAMIE COUNTY,IA ,A-H-S-T COMM SCHOOL DISTRICT
A. LINWOOD HOLTON GOV SCH,Virginia,5100033,WASHINGTON COUNTY,VA ,A. LINWOOD HOLTON GOV SCH
A.B. GRAHAM ACADEMY,Ohio,3901358,CHAMPAIGN COUNTY,OH ,A.B. GRAHAM ACADEMY
A.C.G.C.,Minnesota,2700106,MEEKER COUNTY,MN ,A.C.G.C.
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,2200056,LINCOLN PARISH,LA ,A.E. PHILLIPS LABORATORY SCHOOL
ABBEVILLE 60,South Carolina,4500690,ABBEVILLE COUNTY,SC ,ABBEVILLE 60
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,5500030,CLARK COUNTY,WI ,ABBOTSFORD SCHOOL DISTRICT
ABBOTT ISD,Texas,4807380,HILL COUNTY,TX ,ABBOTT ISD
ABBOTT UNION FREE SCHOOL DISTRICT,New York,3602300,WESTCHESTER COUNTY,NY ,ABBOTT UNION FREE SCHOOL DISTRICT
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,2500051,WORCESTER COUNTY,MA ,ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT)
ABC UNF,California,601620,LOS ANGELES COUNTY,CA ,ABC UNIFIED
ABERDEEN DISTRICT,Idaho,1600030,BINGHAM COUNTY,ID ,ABERDEEN DISTRICT
ABERDEEN SCHOOL DIST,Mississippi,2800360,MONROE COUNTY,MS ,ABERDEEN SCHOOL DIST
ABERDEEN SCHOOL DISTRICT,Washington,5300030,GRAYS HARBOR COUNTY,WA ,ABERDEEN SCHOOL DISTRICT
