Arrowhead Stadium,76416,None
Bank of America Stadium,73778,None
Candlestick Park,69732,None
CenturyLink Field,67000,None
Cowboys Stadium,80000,Retractable
Edward Jones Dome,66965,Dome
EverBank Field,67246,None
FedExField,85000,None
FirstEnergy Stadium,73200,None
Ford Field,65000,Dome
Georgia Dome,71228,Dome
Gillette Stadium,68756,None
Heinz Field,65050,None
Lambeau Field,79594,None
Lincoln Financial Field,68532,None
LP Field,69143,None
Lucas Oil Stadium,62421,Retractable
M&T Bank Stadium,71008,None
Mall of America Field,64121,Dome
Mercedes-Benz Superdome,73208,Dome
MetLife Stadium,82566,None
MetLife Stadium,82566,None
O.co Coliseum,53200,None
Paul Brown Stadium,65535,None
Qualcomm Stadium,70561,None
Ralph Wilson Stadium,73079,None
Raymond James Stadium,65908,None
Reliant Stadium,71054,Retractable
Soldier Field,61500,None
Sports Authority Field at Mile High,76125,None
Sun Life Stadium,75540,None
University of Phoenix Stadium,63400,Retractable
